Position,Name-Team,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kyvon Davenport / Memphis,36,23,26.1,4.8,9.5,0.501,3.7,6.6,0.565,1,2.9,0.356,2.5,4.2,0.599,2.4,4.5,6.9,1,0.7,0.8,1.5,3.4,13.1
0,Tyler Harris / Memphis,36,15,25.5,3.6,9.7,0.369,1.4,2.8,0.505,2.2,7,0.315,1.4,1.7,0.839,0.4,1.4,1.8,1.9,0.6,0,1.7,2,10.8
0,Kareem Brewton Jr. / Memphis,36,21,22.3,3.2,6.8,0.463,2.5,4.8,0.526,0.7,2.1,0.32,1.1,1.6,0.714,0.9,2.4,3.3,2.3,1.2,0.1,1.8,2.7,8.1
1,Raynere Thornton / Memphis,36,32,26.1,2.6,5.3,0.497,2.2,3.9,0.553,0.5,1.4,0.34,1.3,1.9,0.671,2.2,3.9,6.1,1,1,0.6,1.5,2.3,7.1
1,Mike Parks Jr. / Memphis,35,26,15.2,2.5,4.1,0.6,2.5,3.9,0.632,0,0.3,0.111,0.9,1.6,0.536,1.5,1.7,3.1,0.2,0.3,0.6,1.2,2.2,5.9
1,Isaiah Maurice / Memphis,36,9,13.4,2.1,4.6,0.47,1.8,3.5,0.512,0.4,1.1,0.333,0.9,1.2,0.81,0.6,2.5,3.1,0.4,0.2,0.8,1.1,2.4,5.6
0,Alex Lomax / Memphis,35,11,19.9,1.7,4.7,0.366,1.5,3.7,0.408,0.2,1,0.206,1.5,2,0.732,0.9,2,2.9,2.5,1,0.1,1.7,1.7,5.1
0,Antwann Jones / Memphis,35,6,16.6,1.6,3.8,0.424,1.2,2.5,0.466,0.4,1.3,0.341,1.1,1.3,0.844,0.5,2.5,3,1.8,0.7,0.4,1.5,1.7,4.7
0,Evin Olds / Memphis,8,0,2,0.1,0.4,0.333,0,0.1,0,0.1,0.3,0.5,0.8,0.8,1,0.1,0.1,0.3,0,0.1,0,0.3,0.5,1.1
1,Victor Enoh / Memphis,11,1,6.1,0.2,0.4,0.5,0.2,0.4,0.5,0,0,0,0.4,0.9,0.4,0.6,0.4,1,0,0.1,0.1,0.3,0.8,0.7
0,David Wingett / Memphis,4,0,5.5,0.3,2.5,0.1,0.3,0.5,0.5,0,2,0,0,0,0,0,0.3,0.3,0,0.8,0.3,0,0.5,0.5
1,Markis McDuffie / Wichita State,37,37,33.4,5.8,14.2,0.408,3.5,7.5,0.466,2.3,6.6,0.341,4.3,5.3,0.816,1.8,3.2,5,1,1,0.2,1.6,1.9,18.2
