Name,Team,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Bourama Sidibe,syracuse,29,1,10.1,0.7,1.4,.463,0.7,1.4,.463,0.0,0.0,,0.6,1.5,.395,1.0,1.7,2.7,0.2,0.5,0.5,0.3,2.3,1.9
Ky Feldman,syracuse,9,0,1.1,0.1,0.2,.500,0.0,0.0,,0.1,0.2,.500,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.3
Adrian Autry,syracuse,10,0,1.2,0.0,0.5,.000,0.0,0.1,.000,0.0,0.4,.000,0.0,0.1,.000,0.0,0.1,0.1,0.1,0.1,0.0,0.2,0.0,0.0
Antonio Balandi,syracuse,10,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.1,0.2,0.0,0.0
Ray Featherston,syracuse,4,0,1.0,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
Brendan Paul,syracuse,9,0,0.9,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Howard Washington,syracuse,3,0,3.3,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,0.0,0.0,,0.0,1.3,1.3,0.3,0.0,0.0,0.0,0.0,0.0
Torin Dorn,north-carolina-state,36,35,28.5,5.8,12.1,.482,5.2,9.9,.520,0.6,2.1,.303,1.8,3.0,.589,2.2,5.0,7.2,1.3,1.0,0.3,1.4,1.4,14.0
Markell Johnson,north-carolina-state,33,30,25.3,4.4,8.9,.488,2.3,4.1,.567,2.1,4.9,.422,1.8,2.4,.747,0.7,1.9,2.6,4.2,1.1,0.2,2.2,2.1,12.6
C.J. Bryce,north-carolina-state,36,35,27.2,4.3,9.2,.468,3.3,6.1,.529,1.1,3.1,.345,1.9,2.5,.756,1.6,3.1,4.6,1.8,1.1,0.4,1.5,1.7,11.6
Braxton Beverly,north-carolina-state,35,29,29.5,3.1,8.4,.363,0.9,2.2,.408,2.2,6.3,.347,1.1,1.5,.722,0.2,1.4,1.7,2.5,0.9,0.0,1.2,1.9,9.4
Devon Daniels,north-carolina-state,36,13,23.5,3.6,8.7,.409,2.5,5.4,.469,1.0,3.3,.311,1.1,1.7,.661,0.8,3.5,4.4,1.6,0.9,0.6,1.8,2.3,9.3
DJ Funderburk,north-carolina-state,36,1,19.9,3.0,5.4,.552,2.8,4.7,.595,0.2,0.7,.269,2.6,3.4,.785,2.1,2.1,4.2,0.4,0.5,1.1,1.0,2.9,8.8
Jericole Hellems,north-carolina-state,36,0,13.7,2.0,5.1,.386,1.4,3.2,.426,0.6,1.9,.319,0.8,1.0,.750,0.9,1.6,2.5,0.7,0.4,0.3,1.0,1.8,5.3
Wyatt Walker,north-carolina-state,36,35,17.9,1.9,3.3,.581,1.8,3.1,.589,0.1,0.1,.400,0.9,1.4,.667,1.8,2.6,4.5,0.8,0.4,0.9,1.1,3.0,4.8
Eric Lockett,north-carolina-state,25,2,15.5,1.7,3.5,.477,1.2,2.5,.500,0.4,1.0,.423,0.6,0.9,.609,1.2,1.7,2.9,1.2,0.6,0.2,0.7,1.6,4.4
Ian Steere,north-carolina-state,1,0,5.0,2.0,2.0,1.000,2.0,2.0,1.000,0.0,0.0,,0.0,0.0,,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0
Blake Harris,north-carolina-state,30,0,9.5,0.9,2.2,.424,0.7,1.6,.426,0.3,0.6,.421,0.9,1.3,.737,0.2,1.1,1.3,1.5,0.7,0.0,1.0,1.4,3.1
Marcquise Reed,clemson,31,30,35.4,6.5,14.8,.440,5.0,10.5,.475,1.5,4.4,.356,4.8,5.7,.843,0.7,4.8,5.5,3.1,2.1,0.0,2.7,1.9,19.4
Elijah Thomas,clemson,34,32,25.7,5.1,8.3,.612,5.1,8.2,.614,0.0,0.0,.000,2.9,4.5,.638,2.5,5.3,7.8,1.4,0.8,2.2,2.8,3.3,13.0
Shelton Mitchell,clemson,32,32,32.8,3.8,9.9,.379,2.3,5.3,.426,1.5,4.6,.324,2.5,3.0,.833,0.4,2.3,2.7,3.0,1.0,0.0,2.3,1.0,11.5
Aamir Simms,clemson,34,34,26.6,3.1,7.0,.441,1.9,3.4,.556,1.2,3.6,.331,0.7,0.9,.750,1.5,3.1,4.6,1.0,0.6,0.7,1.3,2.4,8.1
David Skara,clemson,33,32,31.2,2.7,5.8,.468,1.7,3.0,.566,1.0,2.8,.363,1.2,1.6,.722,1.1,3.1,4.2,1.5,0.7,0.5,1.2,2.1,7.6
Clyde Trapp,clemson,34,7,24.0,2.0,5.1,.399,1.3,2.6,.489,0.8,2.5,.306,1.2,1.8,.645,0.4,2.9,3.4,1.6,0.8,0.2,1.7,2.1,6.0
John Newman III,clemson,34,1,12.0,0.8,2.1,.384,0.6,1.3,.422,0.3,0.8,.321,0.2,0.3,.545,0.4,1.3,1.8,0.4,0.4,0.1,0.6,0.9,2.1
Javan White,clemson,33,2,8.4,0.8,1.5,.560,0.8,1.5,.560,0.0,0.0,,0.3,0.7,.458,0.7,1.3,2.0,0.2,0.2,0.4,0.4,1.6,2.0
